"V2","V30","V23","V15","V4","V8","V33","V3","V26","V29","V7","V6","V16","V5","V19","V13","V17","V10","V34"
0.99539,0.42267,-0.47357,-0.38223,0.85243,1,-0.453,-0.05889,0.41078,-0.3409,-0.37708,0.83398,0.84356,0.02306,-0.32192,-0.44945,-0.38542,0.85243,1
1,-0.16626,-0.35734,-0.97515,0.93035,1,-0.02447,-0.18829,-0.20468,-0.11593,-0.93597,-0.10868,0.05499,-0.36156,-1,-0.69707,-0.62237,0.50874,2
1,0.60436,-0.12062,0.00299,1,0.88965,-0.38238,-0.03365,0.58984,-0.17365,-0.12062,1,0.83775,0.00485,-0.0854,0.00827,-0.13644,0.73082,1
1,0.25682,0,0.14516,1,0,1,-0.45161,0.51613,-0.20099,-1,0.71216,0.54094,1,-0.54467,0,-0.3933,0,2
1,-0.05707,-0.52879,-0.27457,0.9414,0.77152,-0.65697,-0.02401,0.1329,-0.62197,-0.23255,0.92106,0.5294,0.06531,-0.17813,-0.00712,-0.2178,0.52798,1
0.02337,0,0.00888,-0.1554,-0.09924,0.14706,0.12011,-0.00592,-0.0324,0.00732,-0.11824,-0.00763,-0.00343,-0.11949,-0.05414,0,-0.10196,0.03786,2
0.97588,-0.04262,-0.79753,-0.61436,0.94601,0.85996,-0.80975,-0.10602,0.13659,-0.82395,-0.2835,0.92806,0.57945,-0.208,-0.73641,-0.50764,-0.68086,0.79766,1
0,1,0,0,0,0,0,0,1,0,-1,1,1,0,-1,0,1,-1,2
0.96355,0.45114,-0.64225,-0.46381,1,1,-0.7342,-0.07198,0.57577,-0.63919,-0.21313,1,0.98305,-0.14333,-0.6602,-0.40668,-0.35257,0.9257,1
-0.01864,0.16595,0,0.38602,0,0.1147,0.38065,-0.08459,0.20645,0,0,0,-0.37133,0,0.22115,0,0.15018,-0.45663,2
1,0.30996,-0.80544,-0.59017,1,1,-0.89158,0.06655,0.47211,-0.83675,-0.2732,1,0.8923,-0.18388,-0.70997,-0.51874,-0.66474,1,1
1,1,1,-1,1,1,-1,-0.5421,1,-1,-1,1,1,-1,-0.93599,1,-0.29354,1,2
1,0.68714,-0.5122,-0.34412,1,1,-0.67226,-0.16316,0.76224,-0.68794,-0.15197,0.99999,0.94486,-0.10169,-0.43383,-0.29785,-0.28106,0.94055,1
1,1,0.62349,-0.14767,1,1,-0.18826,-0.86701,1,-0.66494,-0.39896,0.85492,1,0.2228,-1,0.07772,-1,1,2
1,1,0.4175,0.12785,1,1,0.46712,0.0738,1,0.48641,-0.05563,1,1,0.0342,0.27087,0.20328,0.10561,1,1
0.50932,1,0,-0.34265,1,1,0,-0.93996,0.39752,0,-1,-0.0352,-0.37681,0.26708,-1,0,0.03623,0.43685,2
0.99645,0.77122,0.14442,0.05269,1,0.96112,0.12015,0.06468,0.79476,0.15379,0.02498,0.97811,0.88809,-0.01236,0.08631,0.10346,0.1112,0.99274,1
0,-1,1,1,-1,-1,-1,0,1,1,1,1,-1,-1,1,-1,-1,-1,2
0.67065,0.40663,0.22625,0.10976,0.66626,0.08776,0.33036,0.02528,0.46167,0.25306,0.18761,0.57197,0.58373,0.05031,0.41224,0.14285,0.18151,0.63621,1
1,1,0.5625,0,0,1,1,-1,1,-1,0,0,-1,0,1,1,1,1,2
1,0.80448,-0.46866,-0.15616,1,1,-0.45039,-0.00612,0.82681,-0.38231,-0.07649,1,0.92124,-0.09834,-0.34534,-0.39489,-0.31884,1,1
1,-1,0,-1,0,-1,1,1,1,1,0,0,-1,0,1,0,-1,0,2
0.96071,0.5131,-0.05929,0.09831,1,0.90169,-0.00182,0.07088,0.58051,-0.01251,0.09313,1,0.76544,0.04296,-0.05295,-0.06142,0.0028,0.89263,1
-1,-1,0,0,0,-1,0,1,1,1,0,0,1,0,1,0,-1,1,2
1,0.54356,-0.31654,-0.06598,1,1,-0.39487,-0.06182,0.72529,-0.38576,-0.05131,1,0.6917,0.02942,-0.20367,-0.05202,-0.07379,1,1
1,1,-1,-1,1,1,-1,0.5782,1,-1,-1,1,1,-1,-1,-1,-1,1,2
1,0.32984,-0.78547,-0.23433,1,0.94817,-1,-0.08714,0.48136,-0.89674,-0.81779,0.86635,0.81051,-0.17263,-1,-0.31736,-0.6218,0.95473,1
-1,0,0,0,0,1,1,-1,-1,-1,1,-1,1,0,-1,0,-1,0,2
1,0.64358,1,0.70758,1,0.98172,1,0.0838,0.83899,1,-0.13308,1,1,0.17387,0.95099,0.59113,0.82777,1,1
-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,1,1,2
1,1,-0.59661,-0.21975,1,1,-0.84437,-0.14236,0.9882,-0.7582,-0.23656,1,1,-0.16256,-0.46162,-0.26161,-0.38606,1,1
1,1,-1,-1,1,1,1,-1,1,-0.79141,-1,1,1,1,-0.85583,-0.0184,1,1,2
0.88208,0.47075,-0.50085,-0.35924,0.93408,0.88307,-0.58086,-0.14639,0.56804,-0.59854,-0.1645,0.921,0.80681,-0.11057,-0.47022,-0.31463,-0.33632,0.88462,1
0.71253,0.86136,0.05456,-1,0.41287,0.99709,-1,-0.02595,0.93124,-0.21901,-0.09473,0.98019,0.8227,-0.23067,-0.28257,1,-0.17863,1,2
1,1,-0.91338,0.14638,0.72314,1,-0.57758,-0.15899,1,-0.11129,-0.58388,0.83443,1,0.27686,0.2659,-0.12527,0.39337,1,1
0.66161,1,-1,0.73393,1,0.80893,0.34732,-1,1,-0.3625,-0.67321,1,0.17589,1,0.78036,-0.89375,0.70982,1,2
1,0.83777,-0.13565,-0.07917,1,1,-0.20766,0.00433,0.89067,-0.18552,-0.0296,1,0.92561,-0.01209,-0.14327,-0.06544,-0.13665,0.97839,1
1,1,1,0,1,0,0,1,1,1,0,0,-1,-1,1,0,1,-1,2
0.91241,0.70925,0.14222,0.06211,0.94191,0.93582,0.11447,0.04347,0.7355,0.153,0.05345,0.94705,0.88899,0.0228,0.14439,0.12067,0.12722,0.91911,1
1,0.38352,0.16516,0.14137,0.99672,0.61745,1,0.02461,0.48867,0.15436,0.07143,0.97545,0.76929,0.04861,0.41003,0.5364,0.15189,0.91036,2
1,0.11372,0.6884,0.52321,1,0.93051,0.71444,0.06538,0.27712,0.70682,0.26281,1,0.65954,0.20746,0.62999,0.50082,0.60756,0.86773,1
-1,1,1,-1,1,0,0,-1,1,-1,-0.14375,1,-1,1,-1,1,-1,-1,2
0.90932,0.06927,0.55826,0.46086,0.86528,0.55187,0.67739,0.08791,0.18626,0.56101,0.16598,1,0.51067,0.16888,0.12967,0.42739,0.49618,0.70207,1
-0.64286,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,0.82857,-1,-0.37679,0.13839,1,2
0.99025,0.54752,-0.64615,-0.43796,0.99793,0.99374,-0.83245,-0.05785,0.65247,-0.75353,-0.1943,0.98663,0.84922,-0.13009,-0.57075,-0.37965,-0.52064,0.92738,1
0,1,0,0,0,1,0,0,-1,1,0,0,-0.375,0,-1,0,-1,1,2
1,0.77919,-0.37643,-0.25099,1,0.99838,-0.50152,-0.0373,0.83172,-0.42593,-0.11039,0.99601,0.91236,-0.07383,-0.32152,-0.21695,-0.344,0.98941,1
0.94598,-0.09634,0.37361,0.15452,-1,0.69258,0.41913,-0.02685,0.52208,-0.61393,0.35639,-0.36393,0.91921,0.26131,-0.50424,-0.0055,-0.4627,1,2
0.98166,0.76911,-0.18739,-0.1279,0.98103,0.95947,-0.23902,0.00874,0.81813,-0.23864,-0.05699,0.97565,0.94217,-0.03818,-0.192,-0.11102,-0.11583,0.99004,1
0,0,0.35668,-0.22414,1,0.10991,0,0,1,0.81573,0,0,-0.55711,0.51724,0.63147,0,-0.83297,0,2
0.84134,0.84463,-0.1629,-0.57486,0.43644,0.87947,-0.01425,-0.18362,0.93358,-0.32298,-0.00267,0.93421,0.75,0.02919,-0.20104,0.54991,-0.2952,0.81121,1
1,0,-1,-1,1,0,0,1,1,-1,0,0,1,-1,1,1,-1,1,2
1,1,-1,0.72526,1,-0.2697,0.34845,1,1,-1,1,0.9101,-1,1,-0.42052,1,-0.57779,-0.83152,1
-0.67935,-1,-1,-1,-1,0.03515,0.33611,-1,1,-1,0.63317,1,-1,1,1,1,1,-1,2
0.95659,0.83951,-0.29807,-0.19497,0.97487,0.96097,-0.41173,0.08143,0.87244,-0.30619,-0.08484,0.97165,0.9963,-0.05667,-0.35902,-0.16795,-0.32268,0.94717,1
0.08333,-1,-0.46801,1,-1,0.71875,0.61458,-0.20685,1,-0.38914,1,-1,-0.02753,1,-0.42113,-1,0.59152,-0.82143,2
1,0.78479,-0.20081,-0.14522,1,1,-0.22981,-0.02259,0.8728,-0.2237,-0.06682,1,1,-0.04494,-0.17639,-0.12738,0.32407,1,1
-1,0,1,1,1,0,-1,1,1,1,1,-1,-1,-1,-1,-0.1875,-1,1,2
1,0.78324,0.1641,0.11224,0.94525,1,0.31166,0.05812,0.88423,0.22511,0.13231,0.99952,0.90896,0.07418,0.16265,0.14644,0.20119,0.94846,1
0.17188,0,-0.27083,-0.67708,-1,0,0,-1,1,0.67708,0,0,0.80521,1,0.14375,0,0.36146,-1,2
1,0.56791,0.39597,0.28343,1,0.98602,0.50903,0.09771,0.68452,0.46031,0.22574,1,0.85529,0.12197,0.33129,0.24288,0.26721,0.9493,1
0.01667,0,-1,-0.55,0,0,-0.27292,-0.35625,1,0.18854,0,0,0.22813,0,-0.42292,0,0.82813,0,2
1,0.33921,0.6472,0.49225,0.99352,0.91759,0.78685,0.16801,0.43317,0.76147,0.33347,0.94616,0.78473,0.16334,0.56977,0.46899,0.48311,0.91408,1
0.63816,0.20614,1,0.05044,0.20833,0.87719,1,1,1,1,1,1,-0.51535,-1,-0.03289,0.58772,-1,-0.66886,2
1,0.4397,-0.12312,0.00879,1,1,-0.05402,-0.41457,0.9289,-0.27387,0.18593,0.8706,0.97613,0.76131,-0.24497,-0.1608,-0.50126,0.93844,1
0.84783,1,0.26585,0.35507,1,0.66938,0.37409,0.10598,1,-0.01947,-1,1,1,0.3913,-0.43025,0.60598,0.02672,1,2
1,0.94578,0.27376,0.04384,1,1,-0.07329,0.28046,0.96414,0.2336,0.07764,1,0.9575,0.02477,-0.08668,0.05489,-0.24598,0.98762,1
1,0,-1,-1,1,1,-1,-1,1,0.65625,-1,1,1,-1,1,1,1,1,2
1,0.9357,-0.97491,0.40268,0.81309,0.20619,0.03446,0.67784,0.41778,-1,1,0.43019,-0.39046,0.82021,-0.42822,0.77092,-0.58634,-0.43872,1
1,1,1,-1,1,1,-1,1,1,0,-1,1,1,-1,1,1,1,1,2
1,0.74389,0.59457,0.31674,1,1,0.75837,0.03529,0.89502,0.67149,0.26968,1,1,0.18281,0.53846,0.38643,0.65701,1,1
1,0,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,-1,0,-1,0,2
0.96087,0.13756,0.76197,0.58794,0.9676,0.98044,0.86285,0.0862,0.33401,0.86061,0.27451,0.96026,0.73242,0.19279,0.7314,0.52517,0.69065,0.92867,1
0.69444,0,0,-0.24206,0,0,0,0.38889,0.7619,0,0.69841,-0.32937,0.21032,0,0.78175,0,0.19444,0,2
1,0.47027,0.62758,0.42881,1,1,0.75243,0.0507,0.59417,0.72684,0.19498,1,0.89126,0.10827,0.58801,0.38261,0.50391,1,1
1,0,-1,-1,0,1,-1,1,1,1,-1,1,1,0,1,1,1,1,2
1,0.45312,0.58129,0.39749,1,1,0.62658,0.04078,0.58903,0.60932,0.16159,1,0.81939,0.11982,0.46994,0.37639,0.46059,0.98703,1
1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,1,2
1,-0.1737,1,0.77128,1,1,1,0.24168,0.38255,1,0.72973,1,1,0.4859,1,1,1,1,1
1,1,1,0,1,-1,1,1,1,1,1,1,0,-1,1,1,0,0,2
1,1,-1,-0.15851,1,1,-0.48252,-0.06604,1,-1,0.09557,1,1,0.62937,-0.61538,-0.40559,0.04895,1,1
1,1,1,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,2
0.92277,0.02735,0.68343,0.56476,0.92679,0.84111,0.69509,0.07804,0.18765,0.71038,0.24618,0.89702,0.60459,0.16251,0.64924,0.46983,0.642,0.78801,1
0.68198,-0.04585,0.24936,0.38869,0.82332,0.25795,0.04586,-0.17314,-0.04314,0.10349,0.32862,0.46643,0.18681,0.21908,0.36353,0.44523,0.41168,1,2
0.74852,0.59024,-0.18639,0.05178,0.6568,0.85947,0.02959,-0.02811,0.61009,-0.21154,0.02811,0.80621,0.7855,-0.05178,-0.01479,0.0784,-0.27811,0.63462,1
0.39179,0.39118,0.45522,0.6791,0.97464,0.35821,0.12755,-0.06343,0.49309,-0.02612,1,1,0.66791,0.04328,-0.11567,-0.8209,-0.10448,0.54478,2
0.67547,0.86415,-0.14717,-0.02264,0.76981,0.66038,0.00755,0.04528,0.73886,0.02264,0.03774,0.77358,0.76981,-0.10566,-0.07925,-0.13962,0.08679,0.64528,1
0.72727,0.48927,-1,1,0.89241,0.66364,1,-0.05,0.56982,0.08182,0.72727,1,0.50455,0.03462,0.1,0.09559,0.21818,0.48182,2
0.57647,0.45098,0.08235,-0.0549,0.40392,0.4,0.17255,-0.01569,0.48601,0.08235,0.12941,0.38431,0.58039,0,0,0.08235,0.01569,0.56471,1
0.41932,-0.02916,0.36364,0.27322,0.35,-0.03636,-0.06314,0.12482,-0.09971,-1,0.27955,0.23182,0.02727,0.125,0.12727,0.33636,0.40455,0.04517,2
0.88305,0.43026,0.34871,0.25322,1,0.85086,0.54185,-0.21996,0.69811,0.58584,0.19206,0.82403,0.69206,0.36373,0.39056,0.25,0.5794,0.90558,1
0.84557,-0.21354,0.80934,-0.68065,-0.31745,0.80648,-0.59867,-0.0858,0.70882,-0.14109,-0.56435,-0.08961,0.85701,-0.80553,-0.15729,0.63966,-0.11344,0.89514,2
0.7087,0.64348,-0.03845,0.37826,0.64348,0.65217,0.14783,-0.24783,0.4993,-0.04448,0.38261,0.45217,0.38696,0.04348,-0.26087,-0.23043,-0.42609,0.5,1
-0.5418,0.02399,-0.6161,-0.1548,-0.33746,0.31889,-0.08978,0.14861,0.41348,0.11146,-0.13932,0.52012,0.16409,0.73375,0.03406,0.08978,0.45201,0.20743,2
0.29202,0.70798,-0.20883,0.03905,0.45331,0.52632,-0.03226,0.13582,0.50369,0.09847,-0.00509,0.51783,0.81664,0.16808,-0.04244,-0.04754,-0.22411,0.52462,1
0.79157,-1,0.23725,0.1286,0,0.39468,0,0.16851,-0.34146,0.69401,0.06874,0.56541,-0.02661,0,0.84922,0.53215,0.95122,0.38359,2
0.90116,-0.71475,0.53805,0.85038,0.79299,0.59784,-0.19904,0.16607,-0.71844,0.11218,0.50515,0.7299,-0.12611,0.37379,0.79617,0.87493,0.87396,0.44303,1
0.97714,-0.67289,0.33537,0.8429,0.82683,0.47968,-0.497,0.19049,-0.83314,-0.19321,0.58732,0.71771,-0.3202,0.46259,0.79525,0.93945,0.91624,0.31409,1
-1,1,-1,0,0,0.60586,0,-1,-1,-1,-0.78502,0.50814,1,0,-0.63518,0,-0.2671,-1,2
0.74084,0.59759,0.12185,0.08442,0.79074,0.6623,0.15114,0.04974,0.64158,0.17539,0.03793,0.78575,0.70681,0.02543,0,0.07348,-0.07853,0.67801,1
1,1,-1,0,0,0.80882,0,-1,-1,-1,-0.99265,0.77941,0.72059,0,-0.60294,0,-0.77206,-0.41912,2
1,0.96436,-0.19272,-0.15727,0.96215,1,-0.23296,0.01709,0.9649,-0.17123,-0.03436,1,1,-0.03142,-0.11813,-0.09002,-0.14257,0.99026,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
0.95704,0.89095,-0.39458,-0.31395,0.63318,0.97026,-0.41573,-0.12095,0.88793,-0.23728,-0.18242,0.96365,0.99273,-0.1269,-0.21018,-0.24719,-0.21216,0.92003,1
0.28409,0.16288,0,0,0,0.30682,0,-0.31818,1,-0.48485,-1,0.68182,0.59091,0,-0.80682,-0.84848,-0.35985,0.64394,2
0.9449,1,-0.26571,-0.15017,1,0.90083,-0.44739,-0.49311,1,-0.36931,-0.87052,0.98898,1,-0.03692,-0.20491,-0.12493,-0.17681,1,1
0,0,0,0,0,0,0,0,1,0,0,0,0.36585,0,-1,0,-0.71951,0.62195,2
0.99449,0.80253,-0.05882,-0.20848,0.84082,0.99061,-0.27794,0.00526,0.87579,-0.16581,-0.16431,0.88237,0.93881,-0.11313,-0.08935,0.02966,-0.12977,0.96484,1
0.10135,0,0,0,0,0.5473,0,0.10811,1,-0.23649,0,0,0.37162,0,-1,0,-1,0.31081,2
1,1,-0.74896,-0.57535,0.9915,1,-0.76112,-0.57224,0.53777,-1,-0.9745,0.89518,1,-0.73371,-0.88952,-0.86402,-0.79603,1,1
0.65909,0,0,0,0,0.77273,0,-0.62879,1,-0.93182,0,0,0.62121,0,-1,0,-0.22727,1,2
0.86284,-0.54866,0.40996,0.86284,0.8092,0.54559,-0.31954,0.1931,-0.63038,-0.07816,0.55785,0.67203,-0.17241,0.41149,0.65747,0.85671,0.75785,0.36705,1
0.42,0,0,0,0,0.9,0,-0.61,1,0,-1,1,0.67,0,-1,0,-0.29,0.43,2
1,-0.51251,0.29162,0.91404,0.91404,0.4766,-0.53319,0.23395,-0.71731,-0.28183,0.72144,0.7802,-0.34168,0.52013,0.64527,0.88248,0.75517,0.27639,1
0.91353,0,0.00019,-0.03403,-0.72973,0.05405,0,0.81586,-1e-05,0,0.55735,-0.39466,0.01108,1,0.00097,-0.0897,-0.00537,-0.18599,2
0.21429,0.16997,-0.11905,-0.04762,0.33333,0.2381,-0.01877,-0.09524,0.22109,0,0.19048,0.19048,0.28571,0.07143,0.04762,-0.04762,-0.11905,0.40476,1
1,0.27869,-0.29508,-0.16393,1,0.65574,-0.06557,-0.14754,0.52385,-0.03279,-0.01639,0.57377,0.19672,0.04918,-0.17176,0,-0.14754,0.85246,2
0.98182,0.60715,0.13493,0.09579,0.88627,0.8,0.17077,0,0.64581,0.02727,0.04572,0.86249,0.62727,0.03131,0.12727,0.08436,0.25455,0.69091,1
0.39286,-0.54891,-0.47594,-0.63668,-0.78824,0.66667,-0.55837,0.52381,0.51971,0.39286,-0.76378,-0.16628,0.46429,0.11342,0.05952,0.30729,0.15476,0.82143,2
0.86889,1,-0.18667,-0.2,1,0.87778,-0.44222,-0.07111,1,-0.14667,-0.06889,1,0.86889,-0.02494,-0.03778,-0.07287,0.05333,0.83556,1
0.43636,0.12727,0.16364,-0.41818,0.58182,0.34545,-0.29091,-0.12727,0.41098,-0.05455,-0.67273,0.18182,0.2,-0.14545,0.05455,0.29091,-0.01818,0.29091,2
1,1,-0.00112,-0.0566,1,0.62264,-0.11321,-0.92453,0.92192,-1,-0.0566,0.49057,0.98878,0.75472,0,0.07547,-0.00085,1,1
0.7381,-0.66667,-0.2619,-0.07143,-0.7619,0.45238,0.02381,0.83333,0.24889,0,-0.14286,0.33333,-0.38214,-0.2381,0.02381,0,0.51163,-0.67285,2
0.4375,0.58333,0.1875,0.02083,0.58333,0.33333,-0.0625,0.04167,0.44012,-0.08333,0,0.39583,0.4375,-0.10417,-0.22917,0.10417,-0.22917,0.47917,1
1,0,0.20301,0.28571,0,0,0,1,1,1,0,0,0.64662,0,0,0.45489,1,0.47744,2
