"V2","V30","V23","V15","V4","V8","V33","V3","V26","V29","V7","V6","V16","V5","V19","V13","V17","V10","V34"
0.32834,0.15078,-0.22786,-0.05409,0.15236,-0.25706,0.20468,0.0252,0.33737,-0.11409,0.74003,0.14919,-0.13117,0.21278,-0.44615,0.25786,-0.14329,-0.10312,1
0.83427,0.37542,-0.72454,-0.24164,0.5404,-0.33221,0.79444,0.39121,0.83008,0.49079,0.89402,0.12326,-0.59714,0.78579,-0.87787,0.21909,-0.61894,-0.70086,1
0.62335,0.61733,0.03129,-0.08424,0.59085,0.63177,-0.09146,-0.0349,0.60463,0.04452,-0.07461,0.60409,0.67509,0.00481,0,0.0722,0.09146,0.62455,1
0.74449,0.55916,-0.25,0.21691,0.70772,0.79228,0.21691,-0.0239,0.61727,0.0864,0.16912,0.72243,1,0.03309,0.05147,0.00551,0.06066,0.81434,1
0.61538,0.53389,0.08041,0.05776,0.78157,0.65077,0.09322,0.18923,0.58803,0.25692,0.02647,0.77486,0.68615,0.0178,0.16308,0.0506,-0.08923,0.77538,1
0.68317,0.66624,0.00978,0.00673,0.84803,0.843,0.01227,0.05375,0.70824,0.11598,0.00301,0.84341,0.80622,0.00202,-0.03536,0.00585,-0.12447,0.75813,1
0.5,0.35217,-0.11304,0.02609,0.38696,0.46957,0.17391,0,0.41789,0.03913,0.06522,0.4913,0.35652,0.10435,0.14783,0.04783,0.19565,0.35652,1
0.7983,-0.25516,0.72236,0.58445,0.78129,0.6932,0.42467,0.09417,-0.11925,0.56015,0.28068,0.71628,0.33354,0.20656,0.63548,0.60814,0.67861,0.65917,1
1,-0.40291,0.7987,0.74079,1,0.80365,0.44534,0.09802,-0.22839,0.60948,0.33044,0.9839,0.29452,0.25101,0.79777,0.71942,0.82193,0.74977,1
0.8941,-0.52823,0.6261,0.79523,0.87001,0.63388,0.05972,0.13425,-0.46215,0.27252,0.43388,0.78896,0.09134,0.31543,0.76261,0.76161,0.79598,0.54003,1
0.94631,-0.75321,0.82492,0.90665,0.90946,0.73678,0.26092,0.17498,-0.58563,0.52564,0.4996,0.85096,0.17959,0.33143,0.93109,0.83614,0.93429,0.59215,1
0.91767,-0.6571,0.65385,0.83558,0.8609,0.60425,0.05394,0.18198,-0.60328,0.27338,0.45747,0.72873,0.00396,0.35543,0.77853,0.81795,0.8521,0.50376,1
0.76627,-0.19962,0.07588,0.48636,0.63935,0.15,-0.27218,0.21106,-0.33942,-0.19714,0.525,0.48409,-0.27491,0.38112,0.36818,0.44545,0.42014,0.13753,1
0.5894,0.43484,0.07285,0.19868,0.8543,0.56623,0.29942,-0.60927,0.49013,0.28574,0.07285,0.81126,0.71854,0.55298,0.13907,0.12252,0.42715,0.32781,1
1,0.44141,0.05882,0.03985,0.70019,0.71157,0.1518,0.11385,0.4909,0.32448,0.09677,0.81594,0.53131,-0.12144,0.16888,0.12524,-0.03416,0.56167,1
0.84843,0.44277,-0.08453,-0.06438,0.80562,0.66725,-0.09808,0.06794,0.48659,-0.08537,-0.03299,0.77031,0.39199,-0.02299,0.01394,-0.05771,0.0453,0.59582,1
1,0.92774,-0.02591,-0.01671,0.96775,0.8798,-0.03673,0.08013,0.93772,-0.05843,-0.00722,0.96683,0.98497,-0.00482,-0.08848,-0.01436,0.01002,1,1
0.47938,0.47423,0.08247,-0.11856,0.42784,0.73196,-0.51546,-0.12371,0.53396,-0.26289,-0.39175,0.70103,0.42268,-0.12371,-0.2732,0.15979,0.06186,0.26289,1
0.6351,0.66316,0.15359,0.54965,0.7653,0.65358,0.36721,-0.04388,0.68775,0.07621,0.36028,0.61432,0.59584,0.02968,0.2194,-0.43418,0.13857,0.64203,1
0.50112,0.54607,-0.03596,0.00899,0.61124,0.58876,-0.0809,-0.03596,0.56588,-0.03596,0.01573,0.58876,0.57303,0.01348,-0.07416,-0.04719,0.02472,0.66742,1
0.71521,0.49191,0.21683,-0.01942,0.66667,0.77994,-0.05178,-0.00647,0.45105,-0.06796,-0.05178,0.63107,0.54369,-0.04207,-0.10032,0.15858,-0.04531,0.67314,1
0.68148,0.61235,0.08148,0.0963,0.77037,0.60988,-0.04691,0.1037,0.63773,0.02222,0.08148,0.65185,0.78272,0.03457,-0.10864,0.04938,-0.17531,0.79012,1
0.60678,0.58983,-0.0339,0.07797,0.67119,0.50508,0.0678,-0.02712,0.57262,-0.00339,-0.04407,0.52881,0.64068,0.04068,-0.02373,-0.02034,0.11864,0.70508,1
0.49515,0.26214,0.25728,0.00485,0.29612,0.57282,-0.01942,0.09709,0.36547,0.17476,0,0.34951,0.47087,0.05825,0.00485,0.04854,-0.1068,0.58252,1
0.98822,-0.34717,0.71284,0.66237,0.93102,0.74706,0.37465,0.02187,-0.16556,0.55805,0.35222,0.83904,0.318,0.341,0.68873,0.60179,0.70443,0.73584,1
0.97905,-0.65754,0.71676,0.84804,0.90112,0.7176,0.02968,0.1581,-0.57587,0.30796,0.48561,0.82039,0.047,0.35237,0.79749,0.83156,0.85475,0.58827,1
0.99701,-0.54615,0.35534,0.89274,0.91966,0.53312,-0.35032,0.21677,-0.66651,-0.13462,0.62415,0.76902,-0.28269,0.4703,0.61688,0.83312,0.72073,0.36774,1
0.94331,-0.75199,0.50428,0.93682,0.96132,0.56687,-0.34367,0.19959,-0.77097,-0.04399,0.56569,0.80514,-0.24742,0.40803,0.75554,0.89489,0.83939,0.41836,1
0.93972,-0.26389,-0.04284,0.82163,0.80486,0.34961,-0.71273,0.28082,-0.63237,-0.61446,0.73151,0.58167,-0.58835,0.52821,0.40368,0.89335,0.62867,0.10797,1
0.89835,0.36586,-0.47592,0.28415,0.67333,-0.03643,0.13297,0.35157,0.07158,-0.43478,0.94353,0.43898,-0.6675,0.62233,-0.06193,0.48816,0.10591,-0.22838,1
0.29073,0.00096,-0.01176,0.07907,0.23308,0.1203,-0.00647,0.10025,-0.00886,-0.0125,0.34336,0.03759,-0.06328,0.17293,0.01408,0.12767,0.04097,0.06266,1
0.58459,0.15602,-0.40977,0.14662,1,0.82519,-0.10309,-0.35526,0.56836,-0.13346,-0.00564,0.75376,0.72368,0.35338,0.04511,0.06391,-0.42669,0.50188,1
0.83609,0.18767,0.14638,0.13507,0.72171,0.23888,0.13198,0.13215,0.23641,0.16137,0.08315,0.65829,0.29352,0.06059,0.15756,0.12686,0.02922,0.43837,1
0.9408,0.77863,0.05352,0.03506,0.85738,0.76966,0.07508,0.11933,0.79058,0.09251,0.01546,0.85124,0.74838,0.01038,0.02405,0.03027,0.01943,0.84459,1
0.87111,0.75935,-0.25101,0.19964,0.79946,0.89455,0.09193,0.04326,0.85967,-0.04101,0.29292,0.99009,0.88644,0.18297,-0.00991,-0.26724,-0.04642,0.88598,1
0.74916,0.90409,0,0.10195,0.98994,0.74313,0.0275,0.02549,0.82271,-0.01073,0.12877,0.75855,0.91482,0.09792,0.02683,-0.00469,0.03756,0.95842,1
0.47337,0.31953,-0.10651,-0.03846,0.06213,0.45562,-0.00296,0.19527,0.46514,0.25148,0.01006,0.62316,0.55621,-0.18343,0.11538,0.27515,0.12426,0.56509,1
0.59887,0.53861,0.06215,-0.13748,0.69868,0.80979,-0.22034,0.14689,0.61444,-0.02072,-0.13936,0.85122,0.51412,-0.13936,-0.14313,-0.0452,-0.24482,0.50471,1
0.84713,0.72611,-0.03397,-0.18684,0.86412,0.73673,-0.24841,-0.03397,0.74115,-0.22293,0,0.81953,0.78132,-0.08493,-0.10191,-0.11677,-0.21231,0.71975,1
0.87772,0.78533,-0.27989,-0.00543,0.83424,0.77174,-0.00543,-0.08152,0.83705,-0.03261,0.04076,0.84783,0.88043,0.07337,0.03261,-0.10598,-0.20924,0.77174,1
0.74704,0.37549,-0.28656,0.0415,0.53755,0.69565,-0.01383,-0.13241,0.61847,-0.20949,0.09486,0.72727,0.63043,0.16996,-0.11858,-0.1917,-0.00395,0.66798,1
0.46785,0.53659,-0.13525,-0.03326,0.5898,0.47894,-0.04435,0.11308,0.5393,-0.02882,0.06874,0.55432,0.54545,0.00665,-0.04656,-0.16186,-0.13525,0.52993,1
0.88116,-0.30512,-0.08079,0.775,0.72125,0.38825,-0.75597,0.27475,-0.67557,-0.60858,0.63662,0.61559,-0.65114,0.42881,0.45535,0.892,0.6221,0.09831,1
0.93147,-0.1359,-0.19838,0.81018,0.79917,0.26203,-0.94823,0.29282,-0.65165,-0.85725,0.71596,0.59952,-0.73329,0.55756,0.362,0.9513,0.62385,0.04636,1
0.88241,0.25392,-0.45478,0.32558,0.73232,0.05717,-0.81686,0.30634,-0.3161,-0.86841,0.58527,0.34109,-0.81422,0.57816,-0.00775,0.71996,0.41195,-0.09238,1
0.83479,0.25164,-0.39168,0.58425,0.69256,0.21991,-0.35339,0.28993,-0.1695,-0.61488,0.68381,0.49234,-0.7035,0.47702,0.03939,0.77681,0.31291,-0.08096,1
0.9287,0.36021,-0.54069,0.6549,0.76168,0.21592,-0.6027,0.33164,-0.22323,-0.87159,0.84266,0.49305,-0.87474,0.62349,0.05595,0.8359,0.3675,-0.13956,1
0.83367,0.431,-0.53463,0.47744,0.65541,0.17293,-0.30075,0.31456,-0.0153,-0.64428,0.70677,0.34962,-0.74725,0.57671,-0.04887,0.66541,0.19492,-0.18976,1
0.98455,0.97132,-0.08914,-0.07149,0.98058,0.9872,-0.188,-0.02736,0.96653,-0.14916,-0.07635,1,0.97396,-0.04104,-0.12224,-0.07458,-0.09532,0.95278,1
0.94052,0.91991,-0.04417,-0.03887,0.9417,0.95878,-0.0742,-0.01531,0.92695,-0.07479,-0.01472,0.94994,0.95465,0.01001,-0.04711,-0.01767,-0.04064,0.94641,1
0.97032,0.85388,-0.05251,-0.00228,0.91324,0.9863,-0.21918,-0.14384,0.94043,-0.20091,-0.17123,0.96575,0.86758,-0.00228,-0.21233,-0.08447,-0.08676,0.91781,1
0.52542,0.83051,0.05085,-0.35593,0.94915,0.30508,-0.10169,-0.0339,0.67287,-0.0339,-0.16949,0.52542,0.54237,0.08475,0.0339,0.28814,0.01695,0.50847,1
0.33333,0.36924,-0.02778,0.33333,0.44444,0.41667,-0.5,-0.25,0.41543,-0.13889,0.16667,0.38889,0.55556,0.22222,-0.19444,-0.08443,0.02778,0.5,1
0.51207,-1,0.47894,1,1,0.45622,-0.65557,1,-1,-0.16713,0.80833,0.71178,-0.33081,0.5381,1,1,0.98722,0.33081,1
0.75564,-0.34131,0.02995,0.82223,0.8355,0.35225,-0.62956,0.49638,-0.70352,-0.19185,0.72063,0.54916,-0.52742,0.54301,0.67989,0.93778,0.71161,0.13469,1
0.83789,0.37093,-0.48905,0.5207,0.72113,0.1647,-0.24313,0.42904,-0.05054,-0.45911,0.78115,0.45625,-0.7847,0.58385,0.03928,0.78497,0.26529,-0.13012,1
0.93658,0.54827,-0.67464,0.58045,0.75254,0.15323,-0.44173,0.35107,-0.04578,-0.85762,0.88576,0.45571,-0.93104,0.6564,-0.06418,0.83397,0.2602,-0.21775,1
0.92436,0.69886,-0.78174,0.42314,0.71976,-0.11108,-0.13194,0.36924,0.19765,-0.70247,0.94078,0.29303,-0.94315,0.6842,0.03191,0.78766,0.09585,-0.31605,1
1,1,-0.02685,-0.06374,1,1,-0.07439,0.16195,1,0.08299,0.01373,1,1,-0.05558,0.059,-0.01731,-0.07157,1,1
0.95559,0.80634,-0.08495,-0.02542,0.86421,0.82809,-0.02039,-0.00155,0.84132,-0.01867,-0.00461,0.94982,0.95853,-0.13244,0.61739,-0.14247,-0.15518,0.92441,1
0.79378,0.31008,-0.38287,0.41471,0.64064,0.14177,-0.08036,0.29492,0.01523,-0.38059,0.68158,0.41319,-0.75436,0.52312,-0.09856,0.72328,0.16755,-0.16831,1
0.88085,0.56626,-0.68337,0.39309,0.68389,0.05832,-0.13305,0.35232,0.17041,-0.57649,0.79784,0.34816,-0.85803,0.65128,-0.24017,0.6959,0.08408,-0.29784,1
0.89589,0.83142,-0.88591,0.25133,0.66129,-0.04787,0.27926,0.39286,0.53229,-0.40656,0.90824,0.29521,-0.92282,0.71804,-0.48404,0.58511,-0.15315,-0.45725,1
1,0.53165,0.25316,-0.03797,1,0.88608,-0.02532,-0.24051,0.84637,-0.06329,-0.10127,0.87342,0.63291,-0.20253,-0.01266,0.06329,-0.36709,1,1
0.7479,0.58187,0.07577,0.05407,0.83312,0.86555,0.08891,0.0084,0.63728,0.01681,0.02469,0.82638,0.64706,0.01659,0.04202,0.04731,0.19328,0.60504,1
0.85013,0.85198,0.07697,0.05018,0.92211,0.92765,0.10698,0.01809,0.86923,0.08786,0.0218,0.92046,0.87339,0.01456,0,0.0432,0.02842,0.87597,1
1,0.99057,-0.05039,-0.03087,1,1,-0.06668,-0.01179,0.99842,-0.06304,-0.01565,1,0.99528,-0.00343,-0.03452,-0.02187,-0.03238,1,1
0.89505,0.87327,-0.01782,0.03366,0.87525,0.92871,0.02376,-0.03168,0.89002,0.00198,0.01386,0.89505,0.93663,0.05545,0.01386,-0.01584,0,0.91287,1
0.90071,1,0.0922,0.03546,1,0.84752,0.02128,0.01773,0.94305,0.02482,0.00709,0.90071,1,-0.01773,-0.03191,0.01064,-0.03191,1,1
0.39394,0.41856,-0.15152,0,0.62655,0.63636,0.24242,-0.24242,0.46362,-0.0303,0.09091,0.45455,0.56156,0.0127,0.0303,0.15152,0.04561,0.21212,1
0.86689,0.46189,-0.57679,0.41524,0.72014,0.08646,0.0182,0.3595,0.1536,-0.37088,0.83049,0.37201,-0.77019,0.66667,-0.13652,0.67577,0.09898,-0.24118,1
0.89563,0.61217,-0.73855,0.30356,0.67311,-0.04193,0.0866,0.37917,0.33531,-0.42086,0.88696,0.35916,-0.8615,0.69438,-0.34275,0.62078,-0.05365,-0.38875,1
0.90547,0.88654,-0.93788,0.15192,0.65354,-0.13342,0.46301,0.41113,0.67538,-0.28123,0.95905,0.29921,-0.93001,0.74761,-0.59379,0.55086,-0.25554,-0.52236,1
1,0.3867,-0.20443,-0.08867,0.367,-0.27586,0.7979,1,0.85471,1,0.92713,0.12993,-0.38916,0.06158,-0.82512,0.36946,-0.34236,-0.31527,1
1,0.24242,-0.42424,-0.12121,0.45455,-0.32104,0.33333,0.51515,0.72961,0.57576,0.36364,0.06061,-0.33333,0.33333,-0.84848,0,-0.48485,-0.45455,1
0.8811,1,0.05488,0.00305,0.94817,0.90244,-0.0122,0,0.89666,0.00915,-0.0122,0.93598,1,-0.02744,-0.0122,0.00915,0.02744,0.90244,1
0.82624,0.92553,0.07092,0,0.79078,0.92908,0,0.08156,0.89527,0.06738,-0.01773,0.90426,0.93262,-0.08156,-0.00709,-0.00709,0.20213,0.80142,1
0.74468,0.8171,0.05178,0.03382,0.88706,0.87234,0.07173,0.10638,0.83429,-0.03546,0.01471,0.88542,0.95745,0.00982,0.04255,0.02912,0.07801,0.7305,1
0.87578,0.80757,0.01749,0.01151,0.89951,0.86335,0.02441,0.03727,0.82111,0.08696,0.0051,0.8921,0.83851,0.00343,0.02484,0.00994,-0.06211,0.95031,1
0.97513,0.99112,0.05506,0.0373,0.98579,0.9929,0.09947,0.0071,0.9754,0.08171,0.01954,1,0.97869,0.01954,0.05684,0.03552,0.02131,0.95737,1
1,0.98564,0.02099,0.00884,1,0.99448,0.02762,0.01105,0.98033,0.01547,0.0232,1,0.97569,0.01105,0.01657,0.0232,0.00773,0.99448,1
1,1,0.07383,0.06488,1,1,0.10067,-0.01342,0.99989,0.08501,-0.00224,1,0.98881,0.01566,0.03579,0.02908,0.03356,0.97763,1
0.8842,0.54209,-0.68126,0.38778,0.67123,0.02424,0.02823,0.36724,0.26028,-0.43383,0.86399,0.39613,-0.83285,0.67382,-0.32963,0.58842,-0.00642,-0.35148,1
0.90147,0.87893,-0.94172,0.10345,0.64131,-0.20449,0.54852,0.41786,0.74105,-0.18725,0.95148,0.3044,-0.91456,0.75725,-0.65461,0.50949,-0.31412,-0.55483,1
0.32789,0.21443,-0.28916,-0.00337,0.1597,-0.25131,0.26422,0.11042,0.39599,0.05614,0.74485,0.1402,-0.23227,0.29308,-0.48886,0.24865,-0.19909,-0.16503,1
0.65845,0.20549,-0.52128,-0.28723,0.44681,-0.32027,0.74356,0.43617,0.74758,0.59071,0.85106,0.05319,-0.47032,0.74804,-0.86002,0.07111,-0.71725,-0.68253,1
0.19466,-0.16794,-0.16031,-0.30534,0.04198,-0.18321,-0.33588,0.05725,0.03913,0.26336,0.48866,-0.10557,-0.10305,0.25191,-0.17557,0.0916,-0.39695,-0.41985,1
0.98002,0.9819,0.06241,0.02338,1,0.94721,0.08616,0.00075,0.96709,0.08088,-0.00075,0.98982,0.93929,0,0.05279,0.03073,0.05713,0.977,1
0.82254,0.70058,-0.06012,-0.07399,0.80462,0.86821,0.01214,-0.07572,0.76717,-0.0763,-0.01214,0.87514,0.74798,0.00231,0.06358,0.05029,0.06705,0.72832,1
0.35346,0.32232,-0.08989,-0.07289,0.69387,0.55717,-0.083,-0.13768,0.39146,-0.10306,-0.03574,0.68195,0.42271,-0.02423,0.04992,-0.06527,-0.26409,0.61836,1
0.76046,0.66298,0.01232,0.00854,0.86335,0.79988,0.01525,0.01092,0.70886,0.00849,0.00384,0.85821,0.82777,0.00258,0.03881,0.00744,-0.06974,0.81504,1
0.66667,0.55328,0.00683,0.58743,0.97404,0.75683,0.48087,-0.01366,0.68656,0.07787,0.50137,0.4959,0.76776,0.06831,0.11339,-0.48907,0.31831,0.65164,1
0.83508,0.8666,0.06618,-0.08929,0.73739,0.90441,-0.04307,0.08298,0.83479,0.12815,-0.05567,0.84349,1,-0.14706,0.06618,0.06723,-0.02101,0.89391,1
0.95113,0.94066,0.10087,-0.01326,0.95183,0.9459,0.04712,0.00419,0.93522,0.08168,-0.0192,0.93438,0.97173,-0.02723,0.06038,0.0733,0.0014,0.9651,1
0.94701,0.92459,0.06148,-0.01461,0.93207,0.95584,-0.00577,-0.00034,0.92489,0.02242,-0.03431,0.95177,0.94837,-0.03227,0.01393,0.04688,0.02004,0.94124,1
0.90608,0.96022,-0.0232,-0.0453,0.98122,0.85746,-0.16243,-0.01657,0.89147,-0.17238,-0.03646,0.95691,0.91381,-0.01989,-0.12928,-0.01436,-0.00884,0.89724,1
0.8471,0.75747,0.04394,-0.01054,0.73638,0.88928,-0.06151,0.13533,0.81147,-0.00703,0.0826,0.87873,0.85764,-0.06151,-0.03515,-0.00351,-0.04569,0.78735,1
